"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","X1","Exp2F_CRR_10_NEG.mzData","Exp2F_CRR_11_NEG.mzData","Exp2F_CRR_12_NEG.mzData","Exp2F_CRR_13_NEG.mzData","Exp2F_CRR_14_NEG.mzData","Exp2F_CRR_15_NEG.mzData","Exp2F_CRR_16_NEG.mzData","Exp2F_CRR_17_NEG.mzData","Exp2F_CRR_18_NEG.mzData","Exp2F_CRR_19_NEG.mzData","Exp2F_CRR_1_NEG.mzData","Exp2F_CRR_20_NEG.mzData","Exp2F_CRR_21_NEG.mzData","Exp2F_CRR_22_NEG.mzData","Exp2F_CRR_23_NEG.mzData","Exp2F_CRR_24_NEG.mzData","Exp2F_CRR_25_NEG.mzData","Exp2F_CRR_2_NEG.mzData","Exp2F_CRR_3_NEG.mzData","Exp2F_CRR_4_NEG.mzData","Exp2F_CRR_5_NEG.mzData","Exp2F_CRR_6_NEG.mzData","Exp2F_CRR_7_NEG.mzData","Exp2F_CRR_8_NEG.mzData","Exp2F_CRR_9_NEG.mzData","Exp2F_HCC_10_NEG.mzData","Exp2F_HCC_11_NEG.mzData","Exp2F_HCC_12_NEG.mzData","Exp2F_HCC_13_NEG.mzData","Exp2F_HCC_14_NEG.mzData","Exp2F_HCC_15_NEG.mzData","Exp2F_HCC_16_NEG.mzData","Exp2F_HCC_17_NEG.mzData","Exp2F_HCC_18_NEG.mzData","Exp2F_HCC_19_NEG.mzData","Exp2F_HCC_1_NEG.mzData","Exp2F_HCC_20_NEG.mzData","Exp2F_HCC_2_NEG.mzData","Exp2F_HCC_3_NEG.mzData","Exp2F_HCC_4_NEG.mzData","Exp2F_HCC_5_NEG.mzData","Exp2F_HCC_6_NEG.mzData","Exp2F_HCC_7_NEG.mzData","Exp2F_HCC_8_NEG.mzData","Exp2F_HCC_9_NEG.mzData","Exp2R_CRR_10_NEG.mzData","Exp2R_CRR_11_NEG.mzData","Exp2R_CRR_12_NEG.mzData","Exp2R_CRR_13_NEG.mzData","Exp2R_CRR_14_NEG.mzData","Exp2R_CRR_15_NEG.mzData","Exp2R_CRR_16_NEG.mzData","Exp2R_CRR_17_NEG.mzData","Exp2R_CRR_18_NEG.mzData","Exp2R_CRR_19_NEG.mzData","Exp2R_CRR_1_NEG.mzData","Exp2R_CRR_20_NEG.mzData","Exp2R_CRR_21_NEG.mzData","Exp2R_CRR_22_NEG.mzData","Exp2R_CRR_23_NEG.mzData","Exp2R_CRR_24_NEG.mzData","Exp2R_CRR_25_NEG.mzData","Exp2R_CRR_2_NEG.mzData","Exp2R_CRR_3_NEG.mzData","Exp2R_CRR_4_NEG.mzData","Exp2R_CRR_5_NEG.mzData","Exp2R_CRR_6_NEG.mzData","Exp2R_CRR_7_NEG.mzData","Exp2R_CRR_8_NEG.mzData","Exp2R_CRR_9_NEG.mzData","Exp2R_HCC_10_NEG.mzData","Exp2R_HCC_11_NEG.mzData","Exp2R_HCC_12_NEG.mzData","Exp2R_HCC_13_NEG.mzData","Exp2R_HCC_14_NEG.mzData","Exp2R_HCC_15_NEG.mzData","Exp2R_HCC_16_NEG.mzData","Exp2R_HCC_17_NEG.mzData","Exp2R_HCC_18_NEG.mzData","Exp2R_HCC_19_NEG.mzData","Exp2R_HCC_1_NEG.mzData","Exp2R_HCC_20_NEG.mzData","Exp2R_HCC_2_NEG.mzData","Exp2R_HCC_3_NEG.mzData","Exp2R_HCC_4_NEG.mzData","Exp2R_HCC_5_NEG.mzData","Exp2R_HCC_6_NEG.mzData","Exp2R_HCC_7_NEG.mzData","Exp2R_HCC_8_NEG.mzData","Exp2R_HCC_9_NEG.mzData","isotopes","adduct","pcgroup"
"1",92.9277976224587,92.9256627024247,92.9283279794433,24.2271213531494,23.5666370391846,24.8882312774658,27,27,3251.4719013819,5899.82918182439,7264.4794921875,6895.83019814231,7114.97474420721,6858.86726902553,6901.80934380469,5105.9057764152,6676.43645913696,1386.61342056107,631.606698007672,6803.81559204101,4603.46488507837,6242.61818519027,7353.84909555289,6082.31940405273,7223.45933174528,7368.28798338894,6707.26972109046,6063.66589120272,2472.63689129232,7045.23239978028,6278.74061145489,5696.69212619064,8082.60330729574,4630.24866453821,7466.84173278809,7381.2375769043,5907.2741120566,4954.05479312468,7087.26360981445,6658.16058333646,6096.81325586519,7741.25616636306,2452.63977990807,7278.3183242682,7280.47036042668,7809.86956430289,6715.86367675781,5765.70494658229,5545.51726988826,2007.21910291631,7124.20491073399,7095.52379443359,7229.24859655762,5742.79750117142,6663.00379185994,2856.87551697494,3832.20502861956,2795.48791632749,6084.495239299,1868.80146591179,2098.3154148622,3589.21741067502,5572.74963803471,5985.85652847582,6623.64281679789,4895.29198130965,NA,7106.08320350865,NA,5982.98791236684,4127.91719913794,3465.26090892707,3590.23151659907,3850.02628577772,1387.68088267941,4403.80306958386,4706.24934759888,79.7774883204838,4676.37946461805,5062.17001682363,2344.17817526768,5951.90046885971,3095.12984242951,4455.38689424368,3863.25370221373,NA,6656.39998368072,1091.51915105567,5476.54927300459,6346.73885066106,6619.13256200134,1369.51183399609,4453.34816259268,2995.3504536585,7192.55975339189,7459.97119041067,4526.48305839894,NA,"","","12"
"2",116.92824218787,116.927618623783,116.928555675358,467.906799316406,462.870269775391,472.258483886719,9,9,136950.17015442,133074.879252769,142221.569822637,132371.158374791,130950.258839539,133580.026451949,133731.360359699,132487.328153529,129781.480302754,129774.141647006,144407.252335742,125648.662573613,127344.601035482,133905.677381464,127586.002951057,123489.526880614,117873.260687484,167479.699590471,64251.2257364909,140631.110445869,77666.0626820428,140830.304252131,138760.842400642,142457.442191738,97336.4894660904,128047.440855722,134711.516169255,123724.098149272,130072.866345348,127582.049126084,126359.315806894,128990.030226316,133397.820905032,123626.408990663,122820.356728028,241359.710814602,117857.674475964,165578.041127783,143144.72353103,136105.459035856,137137.928878072,75657.5012640861,135567.767805796,138166.45409919,132369.153411403,118727.076809764,122226.254468484,117128.74712501,116892.395616224,119074.207438402,116587.528482082,118241.884442668,118699.159162363,116796.573019173,123562.590794869,116021.943899028,117740.683251976,153726.544600504,123629.501282997,126198.048970236,126719.825337859,125642.58271519,108981.705525931,115141.887793091,115014.092649125,117317.734663605,115159.609887858,113705.803578872,115595.153559713,114690.919890101,115743.840388277,123589.432903825,115944.454189813,124783.363295149,119913.171795692,117459.80299318,128248.585857209,131187.470775226,128823.935442025,127081.717776643,118641.674819103,116587.310160204,114228.692766869,110433.161428204,112416.64721183,118921.666908457,114571.923552759,116415.955983949,119091.503134465,126664.477848139,"","","11"
"3",116.927692749363,116.927406284544,116.927761713647,688.568145751953,668.088256835938,689.229614257812,8,8,16246.1385619958,74528.8511359862,19935.7686461543,16951.5400048131,17725.2097315364,14679.3489398034,19706.9103988491,18812.5296988996,16673.8424206717,20251.6357382924,18963.5441788434,15038.3525998923,27143.9898355232,19171.1144039467,14951.4397644146,18196.2861996881,17888.470929106,21685.4497987006,17830.9917401256,21001.5460673095,20039.2656427075,19160.7184204101,20779.1653190828,19813.8637388267,20291.9951691131,18287.0436434224,15210.3762554849,16051.3755183375,17861.9148887806,19230.9029407829,19652.8999103415,17395.7074925726,17580.6464542643,27235.1279715169,13790.2038920671,22187.0305732848,17328.7796743327,21643.2057155852,18153.6804140625,19532.4121348101,21808.0064606948,22106.6954902432,20849.7571149973,20784.3813938026,19877.8697820784,12821.3875710463,17441.9879405158,4981.94075604113,16197.5634824992,12224.2157027743,15962.5477849967,17206.8045070312,17494.7621434934,13192.4658526389,17183.5726520947,15289.6298479237,13478.8920612435,70790.8605777961,7428.75737430127,14172.3708327739,17140.3063981817,12976.2550012498,18051.503932739,15517.6279265306,13915.0299439211,15723.5277434821,17924.710113835,10651.4546132542,14597.3802974344,9876.92243390129,15551.9646102637,18103.3610462857,15137.4755596742,11969.3094544172,12119.341489284,17903.4906825429,7324.48880550323,19292.9647066586,13146.8429098363,17757.7398108094,17586.3903709094,15924.7830489764,14731.6512920064,14672.0745322171,15336.8863500536,12061.1729269856,13152.212900155,16563.5700319086,18248.0371468104,16558.4752381017,"","","16"
"4",121.043910167903,121.042185685532,121.04480008795,36.4410018920898,35.7810516357422,37.1080894470215,86,86,8728.86288235474,7815.82093005841,8763.61217831144,9571.13354157049,8952.21857784598,8713.08011755371,10064.6758876256,9390.28163078895,9578.52025611223,9982.67274739583,9119.47402234996,9368.8503125,9151.42504381452,8726.33479842435,10124.750590332,8954.42941890092,9391.17241775174,8551.12520789592,6986.70372846183,8020.62259070841,9342.58437417166,7422.10982212612,7522.44078501674,7446.29749529012,9337.56600606864,9510.38690527344,9138.80904555257,9334.99375815837,9405.36100444336,19867.7802296673,10265.8979330226,9233.49891989136,8356.06859244792,8925.29761338923,7953.84004064941,8223.07805652324,9342.7060946045,8783.37346472168,6327.46849396321,9650.36708743723,7557.34606298944,10019.8015503191,8995.56026660156,8074.27924431818,8160.90034077962,9170.49682870924,8905.24178808594,9536.69666925604,8466.14368990385,9303.08313094807,9131.83382702637,8531.21473934659,10316.7772716346,9765.11867284139,7780.9881328125,8031.25485033241,9309.13203417968,7898.38055310058,9655.11329936079,8315.92907012939,9323.13252539063,8118.0513483102,7632.86424746704,9039.74058479192,8879.68230764389,9014.30205803426,8776.76157650757,9072.46845932007,7914.62777021484,8085.76943554687,9285.51300941685,9626.31815093994,7688.55800334821,7509.26534765625,17534.9074660889,9449.88277454723,8840.46233034105,8802.45458010864,8543.62160225423,8356.66964240723,8885.12444560547,8871.91973876953,8925.53465667725,7818.31556692782,8274.66334898377,8610.9802043457,8802.18720736313,9674.58937587193,5733.91256552562,9013.63837568447,"","","9"
"5",122.024009670111,122.023291902289,122.024520994315,194.437202453613,193.780181884766,194.455383300781,90,90,52502.6696076627,48816.7157025359,56397.9385975799,52257.7685182167,58930.6912289951,58760.0485528242,60252.1590724178,50882.1026167666,53934.5074978463,57248.8493028847,61156.9426594859,60477.844829146,52273.3293894265,56652.777738438,56426.737183726,56644.273494873,59398.1009258564,57147.8823173878,53855.7289649076,59168.7011225586,54049.0892423967,52231.0477200928,54410.3874809167,54048.7320412598,57863.4929897435,61316.3302828613,58116.1302327959,58194.8439661073,50560.8168406024,58670.4381398922,59351.4333331871,58422.7487466519,51269.1351245881,59070.7704978719,62028.2799326645,50516.7972822454,58525.2194172015,50360.1319008788,55599.0374982036,55976.6906267642,50902.6573700358,59870.4341105768,57425.2032648561,59948.3523431493,52194.8140778179,55703.7220387106,52853.6096588948,57904.897988988,54104.2115455604,62227.0321240327,63634.5002261963,64905.4484058398,56695.1884098172,61238.2755681701,65372.0177738131,57967.4912494469,65901.5111048253,58354.1894157716,58654.7587037735,65047.832507494,61473.6156180067,61799.2951788732,54429.7916332473,52409.2365748445,57225.2014717462,55308.2335512695,52228.8473840658,53570.5773065694,56217.1853093735,61389.9303990564,66400.219722461,64501.7440493965,66889.7067696904,55539.7119624023,65365.3902286087,68021.4906459912,65389.1541690674,55479.5188643555,63911.004197072,67500.5065369217,51889.4471689453,70688.7799873561,50960.5574425398,56528.2041200166,53103.5035064759,54063.0114599608,59990.0637452777,61311.1010774424,63889.1116619001,56789.9477959899,"","","1"
"6",166.013602756441,166.012595083388,166.014324675115,194.438621520996,193.780181884766,194.455383300781,90,90,51240.9274615479,44383.7988814871,56598.6267475238,50596.141583313,56186.940396261,57625.1201426209,56258.6489445551,53078.2784342592,54573.2897092794,54955.7852644231,57704.0470691082,56865.3791032743,51410.7836134076,54543.0183399822,55372.9940067713,53626.4309157416,54997.2800356183,54118.6403052164,53301.0151326441,57617.5651570511,56651.0612293112,47461.981184146,52291.8573207209,55974.6717738955,57540.7567068303,58172.6252131194,61265.1036565082,58047.4364918912,47909.9860478439,55749.6635541884,58351.0483730713,56569.8927042882,50834.8977809705,57895.075948528,63794.0442653929,48567.3157997074,57852.9048912485,50781.2448390035,56073.2899487917,55112.5182785422,51606.8090288674,58132.0949792755,56716.4611669923,57915.2224119345,52241.3590713097,57255.4113557316,48726.8993905639,60633.2993796467,55694.9454714068,61937.0087127649,62711.5669546661,65897.1355764161,58628.3133649521,58782.7753597657,63844.1304173126,57321.5384147096,64297.0485178647,58919.2259857483,60321.8953078749,61972.5707807574,64641.7289009318,61917.4602778334,52813.249736801,53205.5163857454,56588.4588918918,55373.1801667633,50468.448927948,55047.5789903847,58542.2267202216,62429.6789211845,64795.5230057306,62414.7447569364,68458.4323085562,57753.2866711797,64535.091723598,67475.1215284599,68394.6673088467,55953.1551373943,65829.7423553874,70878.637838509,48268.1808588544,70504.1316599982,51366.3492091722,56939.3679199218,56577.7448294068,55101.4162747313,60102.5874990464,62790.0041544184,64096.780142564,56281.6671270584,"","","1"
"7",167.020527657388,167.017254777098,167.022124968123,28.1447448730469,27.4916820526123,28.803,61,61,11023.025133776,6577.69307958984,8089.6600335083,7685.45264591874,22009.287823037,9464.41782061767,4055.90611053126,5879.40242088864,9121.49154598722,11553.4749238281,15006.8046729991,6928.27690039063,18995.2837264579,9456.8560469752,6881.42308862538,11002.3318929932,7475.51318954191,17307.5576610107,8326.499679218,9997.82145930699,21255.7443368032,7545.1781732465,6419.08731579734,15282.8058982086,6955.08043846264,11012.1925980657,10261.3258190918,12071.022229543,11889.3854493931,3592.65383421286,331.820292723795,8178.74901151603,11736.4864871582,3039.02708679859,23.1496309666635,10011.2062938238,7173.45053954628,10128.0100720927,10710.4288716126,6337.0912908745,16169.8397597342,9458.34465357463,11374.1533388672,9324.46444812012,10161.0230703604,9978.60841576679,1797.1436693759,7274.66689233398,3463.44083987529,19461.6517145793,8349.19921501747,6236.48376229956,4375.38932453633,8106.23274668884,11993.1729262347,10244.4777835787,7017.14026283851,18711.0099636434,9204.70545404866,NA,10073.9913063151,8276.65645825195,12175.1615686035,6286.09471761068,2510.59795912255,15917.4613984197,4912.86598734166,4746.12411196184,11822.6178894043,5190.40085924773,8052.4255403054,9355.03064551251,8966.14329427083,9861.20679648532,5861.81770030562,5357.18863631738,7273.93210919745,10725.1991723621,5470.39359073434,2543.85427351733,7556.97115565075,6918.83838942808,7802.85608117206,7563.58776655461,4097.62138471845,11989.8164448242,7003.92924715909,10039.6741464059,7862.92335678583,8878.76458112981,"","","8"
"8",187.006643987605,187.006075153281,187.00685661439,157.124267578125,157.112030029297,157.392120361328,6,6,14.1238132289503,10.2356490925931,NA,18.2779465787149,1.46223578137981,NA,1440.68193883907,11.6978862510385,19.0090651579376,NA,52.6404998347313,NA,277.173680511769,10.9667690488814,24.8580179229164,1144.98280347726,2.19335436060255,NA,1.46223578137981,21.2024153873432,6468.75543833022,1596.41036008433,NA,4.38670872120509,29.2447101193337,135.256836630413,5176.89668563485,344.434579284414,795.536300126087,NA,267.107848400769,8560.63778116861,13.1601206553527,5.84894312551926,NA,71.86539318023,64.338357855924,937.554413415205,0.731117890689907,NA,1031.59799417624,2484.75296401141,11378.7666975332,49374.897396804,284.707683788254,0.731117890689907,9.50453326750162,5.8489445025849,23.3957780103396,5.11782592336217,NA,694.218078140993,21.9335380977629,237.432116733577,NA,29.9758328297534,10.9667690488814,477.638880680847,28.5135984254392,37.33293274482,1581.76687532936,3.65558945344954,3.65558876491671,3.65558876491671,NA,2107.31457181798,897.293684871151,4.38670872120509,NA,1.46223578137981,133.61128173876,4027.24404323087,122.473762057775,NA,1.46223578137981,265.383167316976,9047.13938196674,10.2356525352572,20.4712981851861,50.0358455719498,107.50794479242,26.868071075099,542.902579438622,NA,NA,268.469810392851,2359.09613123282,10416.1227251598,46875.9749697972,1493.43216808438,"","","3"
"9",195.044243338421,195.039678250453,195.045666236141,31.394495010376,30.1466331481934,32.0638961791992,76,76,11193.0351374163,7015.26896411991,8667.98406252112,8139.77938162231,8926.77251329627,10340.9908577975,9703.96262544759,8895.20845458984,9731.93258293915,10556.9231029402,9630.72045102486,9641.23750195312,10093.9674619862,10653.2140704346,9372.7156574707,10206.657305187,9528.98573510742,8809.86414442952,5422.89095284058,9530.01202094523,9062.2106127496,5404.7688572802,7099.16013217199,9946.77709495442,8835.97674384014,10934.4112425976,8539.86773242188,10543.2505552165,10097.1829929199,14607.415613739,10202.5417337261,9592.92603446045,8434.1622138977,8616.76756567383,16744.0520554134,8050.11188545133,11738.8445001127,9769.911328125,10438.4865253662,8988.60336445313,8626.51229675293,10057.4082521307,8229.27365698242,10397.3327602051,7535.38328466796,9277.5452328125,242.592296178423,7137.56915002441,8444.55783691406,9296.30598172433,9897.0175998966,9372.49211247472,8170.87629824219,8690.29355529785,10502.9835834564,8721.6173972168,8741.73705042812,10338.7491057983,10712.6960126411,8213.54818641881,9951.04987803819,8356.11549916295,7490.01059472801,5564.95297703644,8290.66679499699,8677.77258203125,4919.6642647256,7915.3409532345,9332.8746191569,9114.19953365803,9849.27108927409,9952.03646584744,9765.38967442183,9750.26992950948,13474.5406309408,10938.2177474271,10524.6501137695,8055.25144812185,9496.88167671712,20498.2501391127,5658.99906939919,14824.995190862,7854.57892495258,9568.20501579402,8530.23028846153,9165.79399775929,8207.60126171876,8864.06617100169,9686.14308132102,1166.06004977325,"","","10"
